Player,Trueshooting
"Jarrett Allen",0.73
"Ivica Zubac",0.693
"Rudy Gobert",0.683
"Joe Ingles",0.672
"Richaun Holmes",0.669
"Mikal Bridges",0.667
"Kevin Durant",0.666
"Michael Porter Jr",0.663
"Joe Harris",0.663
"Robin Lopez",0.661
"Stephen Curry",0.655
"Deandre Ayton",0.653
"Montrezl Harrell",0.65
"Jarrett Allen",0.649
"Zion Williamson",0.649
"Nikola Jokic",0.647
"Norman Powell",0.645
"John Collins",0.645
"Jonas Valanciunas",0.636
"Enes Kanter",0.636
"Joel Embiid",0.636
"Doug McDermott",0.635
"Chris Boucher",0.634
"Zach LaVine",0.634
"Giannis Antetokounmpo",0.633
"Bryn Forbes",0.631
"Duncan Robinson",0.628
"Bam Adebayo",0.626
"Harrison Barnes",0.626
"Miles Bridges",0.625
"Jeff Green",0.624
"Shai Gilgeous-Alexander",0.623
"Damian Lillard",0.623
"Kawhi Leonard",0.622
"Davis Bertans",0.62
"James Harden",0.619
"Lauri Markkanen",0.619
"Jalen Brunson",0.618
"Bogdan Bogdanovic",0.616
"Kyrie Irving",0.614
"Marcus Morris",0.614
"James Harden",0.613
"Danilo Gallinari",0.613
"Karl-Anthony Towns",0.612
"Brook Lopez",0.611
"Dorian Finney-Smith",0.609
"Seth Curry",0.607
"Jimmy Butler",0.607
"Reggie Bullock",0.606
"OG Anunoby",0.605
"LeBron James",0.602
"Domantas Sabonis",0.601
"Desmond Bane",0.6
